0	225	240	321
5	162	252	307
10	121	267	323
15	125	281	330
20	126	281	353
25	131	279	335
30	131	280	356
35	126	284	339
40	132	281	339
45	134	275	338
50	137	279	352
55	140	285	351
60	140	285	331
65	145	259	315
70	147	257	323
75	152	264	356
80	143	276	344
85	134	290	333
90	128	297	321
95	121	309	351
100	123	323	326
105	113	315	354
110	118	329	27
115	131	357	356
120	127	361	11
125	131	350	4
130	130	350	305
135	129	348	357
140	137	346	16
145	151	361	45
150	146	344	8
155	137	339	8
160	126	342	290
165	124	336	340
170	124	340	323
175	117	325	13
180	124	340	341
185	123	338	336
190	121	340	341
195	124	337	343
200	124	340	187
205	124	330	310
210	124	331	311
215	129	333	353
220	152	340	347
225	154	341	6
230	134	339	337
235	112	338	270
240	108	325	328
245	119	337	317
250	116	339	286
255	117	329	288
260	118	333	281
265	116	329	196
270	124	332	315
275	125	329	236
280	128	342	284
285	141	348	330
290	135	330	354
295	160	346	32
300	200	358	97
305	242	340	156
310	217	343	247
315	173	354	295
320	164	377	286
325	150	377	285
330	147	365	236
335	93	335	204
340	105	330	189
345	105	322	162
350	105	322	180
355	105	310	159
360	112	307	158
365	95	279	109
370	88	242	170
375	106	198	109
380	125	167	117
385	179	153	94
390	224	144	72
395	269	144	67
400	290	146	72
405	335	169	68
410	346	194	48
415	349	215	25
420	355	241	22
425	356	241	14
430	364	223	47
435	357	227	27
440	349	236	357
445	359	212	23
450	366	216	86
455	371	186	168
460	368	190	203
465	364	161	201
470	359	143	190
475	368	139	204
480	368	146	197
485	368	149	190
490	365	149	185
495	365	147	181
500	362	130	219
505	372	128	174
510	373	146	156
515	376	133	161
520	363	133	227
525	335	127	255
530	292	129	257
535	235	136	272
540	180	142	281
545	137	149	302
550	105	184	355
555	109	252	358
560	115	319	355
565	124	372	4
570	141	353	48
575	208	372	99
580	273	368	102
585	326	375	85
590	351	362	78
595	363	368	129
600	364	361	173
605	366	364	152
610	360	340	199
615	352	283	203
620	357	286	113
625	351	294	201
630	350	292	194
635	332	288	229
640	285	303	268
645	208	309	275
650	127	297	266
655	125	300	258
660	122	311	270
665	128	299	197
670	116	241	182
675	117	184	170
680	129	128	163
685	162	125	79
690	238	125	77
695	308	135	73
700	362	155	45
705	354	151	42
710	368	155	47
715	354	148	70
720	357	141	104
725	353	127	137
730	341	136	108
735	344	146	45
740	363	187	0
745	360	211	19
750	367	233	6
755	368	224	8
760	364	235	356
765	359	227	351
770	353	217	329
775	333	232	293
780	294	247	270
785	216	240	316
790	144	254	322
795	129	294	331
800	141	321	353
805	149	342	1
810	182	358	43
815	230	378	69
820	283	381	91
825	337	376	101
830	349	367	104
835	347	364	109
840	353	355	154
845	357	340	151
850	371	292	168
855	366	277	153
860	369	282	154
865	352	282	225
870	315	289	276
875	244	305	272
880	165	306	264
885	135	304	266
890	138	313	307
895	128	323	320
900	128	339	327
905	137	355	268
910	134	335	207
915	124	272	184
920	126	194	177
925	140	142	173
930	161	130	95
935	240	124	82
940	311	127	82
945	368	139	45
950	369	182	2
955	369	211	16
960	364	236	15
965	365	224	5
970	359	233	354
975	364	230	1
980	368	215	8
985	363	212	3
990	366	197	6
995	374	177	34
1000	383	161	48
1005	366	138	62
1010	366	131	163
1015	350	131	248
1020	280	129	261
1025	208	134	276
1030	136	145	263
1035	119	164	324
1040	112	228	356
1045	127	298	5
1050	163	336	38
1055	205	350	84
1060	276	366	80
1065	324	358	91
1070	352	350	131
1075	369	325	137
1080	362	292	136
1085	361	286	126
1090	359	284	135
1095	348	281	197
1100	352	282	193
1105	356	289	242
1110	332	306	256
1115	252	311	259
1120	174	300	234
1125	109	253	198
1130	105	208	190
1135	120	163	168
1140	140	125	93
1145	203	126	80
1150	283	128	64
1155	350	143	60
1160	370	161	40
1165	366	153	28
1170	358	147	77
1175	362	140	88
1180	353	126	123
1185	353	122	88
1190	352	150	4
1195	357	200	11
1200	363	233	12
1205	367	229	2
1210	367	223	11
1215	369	220	9
1220	355	215	279
1225	299	226	280
1230	269	238	291
1235	172	235	300
1240	114	269	323
1245	114	316	11
1250	123	373	352
1255	152	389	53
1260	214	381	63
1265	276	382	90
1270	319	376	89
1275	343	352	127
1280	366	324	126
1285	363	315	169
1290	341	296	172
1295	318	297	168
1300	311	296	188
1305	243	283	286
1310	184	277	258
1315	153	244	204
1320	135	222	188
1325	109	131	163
1330	159	117	59
1335	226	100	69
1340	294	99	36
1345	351	135	70
1350	360	134	77
1355	347	132	72
1360	355	147	20
1365	377	174	42
1370	377	202	27
1375	376	234	28
1380	373	222	17
1385	337	223	344
1390	280	228	344
1395	199	239	330
1400	131	279	321
1405	132	319	346
1410	172	374	8
1415	199	370	63
1420	294	385	72
1425	337	362	92
1430	373	364	89
1435	361	331	129
1440	349	327	202
1445	322	301	194
1450	303	294	189
1455	238	282	269
1460	167	271	238
1465	164	254	249
1470	160	251	245
1475	126	229	205
1480	118	155	142
1485	125	117	123
1490	178	101	60
1495	260	101	61
1500	336	113	66
1505	353	120	72
1510	353	110	55
1515	356	99	82
1520	350	97	95
1525	347	147	48
1530	366	201	21
1535	371	191	28
1540	366	181	5
1545	357	210	344
1550	336	230	333
1555	342	240	285
1560	280	246	281
1565	172	248	308
1570	126	283	321
1575	158	337	44
1580	189	369	43
1585	244	380	68
1590	322	376	80
1595	345	373	88
1600	354	367	102
1605	352	383	93
1610	309	376	80
1615	297	382	102
1620	279	373	238
1625	258	392	262
1630	191	395	259
1635	120	387	231
1640	110	355	185
1645	110	357	172
1650	111	367	182
1655	110	379	180
1660	112	396	180
1665	112	397	180
1670	110	393	180
1675	108	386	176
1680	110	382	177
1685	113	391	177
1690	113	391	180
1695	111	382	178
1700	112	387	177
1705	113	385	182
1710	111	386	176
1715	114	381	179
1720	113	381	182
1725	111	392	173
1730	115	384	180
1735	114	383	180
1740	113	384	182
1745	112	381	180
1750	114	393	178
1755	113	389	180
1760	111	375	180
1765	113	391	175
1770	116	393	171
1775	114	390	184
1780	109	385	180
1785	112	392	180
1790	109	390	176
1795	110	385	176
1800	112	385	179
1805	114	389	178
1810	113	387	180
1815	112	388	176
1820	112	388	177
1825	114	391	179
1830	113	393	180
1835	113	395	178
1840	112	391	180
1845	110	385	174
1850	112	399	173
1855	112	387	176
1860	113	390	177
1865	114	387	176
1870	114	394	175
1875	114	399	174
1880	113	392	164
1885	114	392	171
1890	115	397	170
1895	115	396	157
1900	124	394	115
1905	172	381	89
1910	202	381	108
1915	225	357	166
1920	218	383	150
1925	209	382	150
1930	209	390	168
1935	206	384	224
1940	201	392	245
1945	190	388	259
1950	189	391	241
1955	190	395	246
1960	201	400	241
1965	197	390	231
1970	196	395	192
1975	198	396	180
1980	202	400	205
1985	207	398	251
1990	209	406	244
1995	205	403	246
2000	214	395	264
2005	216	394	259
2010	208	390	270
2015	217	395	248
2020	223	400	242
2025	221	396	249
2030	230	394	253
2035	236	395	270
2040	245	395	242
2045	243	403	214
2050	247	394	258
2055	258	402	213
2060	253	392	202
2065	256	396	197
2070	262	396	259
2075	261	400	267
2080	249	393	271
2085	227	394	263
2090	212	394	261
2095	214	396	256
2100	221	397	274
2105	223	400	241
2110	229	398	256
2115	225	396	245
2120	218	390	242
2125	229	399	232
2130	234	392	228
2135	231	402	228
2140	229	393	239
2145	226	387	229
2150	231	401	227
2155	231	397	227
2160	235	405	228
2165	227	393	216
2170	223	388	230
2175	228	397	239
2180	229	392	231
2185	228	392	236
2190	234	389	232
2195	229	392	235
2200	229	394	231
2205	231	397	237
2210	226	396	222
2215	230	394	226
2220	234	401	226
2225	229	398	226
2230	233	400	219
2235	225	390	225
2240	229	392	227
2245	231	397	229
2250	233	399	220
2255	228	394	226
2260	229	391	225
2265	234	397	229
2270	229	398	254
2275	229	392	274
2280	226	394	270
2285	229	393	267
2290	226	393	254
2295	226	391	268
2300	198	387	261
2305	184	382	252
2310	153	370	261
